Transcript,Weight,Transcript,Weight,Transcript,Weight,Transcript,Weight
LTK,0.484046302,VCAN_isoform,-3.210127041,CFD,1.361798742,GNLY,-1.400368086
VCAN_isoform,-0.411520645,KLRF1,-2.84190009,HIP1,-1.241630563,RORC,1.256905051
KLRF1,-0.394987459,DAP,1.995560033,LTK,-1.041075613,CNTNAP3,0.837701684
CFD,-0.236893897,LTK,1.570608964,CXCR6,0.962695993,DAP,0.76383945
LMBRD1,0.236155178,FAM65B,-1.131358682,RORC,0.792283986,HIP1,-0.68912978
PLXNC1_isoform,-0.234612316,IL1R1,-1.021422935,VCAN_isoform,0.70321784,C9orf78,0.644336805
KRT23,0.22451575,SCARNA5,-0.976896529,HLA-G,-0.556230601,FCGR3A,0.595814583
DAP,0.162816205,RORC,0.862511617,ITSN1,0.539948982,KLRF1,-0.592104837
C3AR1,-0.139638516,LMBRD1,0.810732235,PTPN18,0.498534397,CECR1,0.578380632
STAT6,-0.137050479,KRT23,0.810310425,TNFRSF10C_intron1.1,0.47821834,SCARNA5,-0.510374997
MAF,-0.11242997,CTSS,0.687198719,MAP2K2,0.434211369,SLC35E2B,0.487693089
GATA3,-0.106546285,CECR1,0.65632362,FCGR3A,0.388948038,VCAN_isoform,-0.458949177
SCARNA5,-0.105682617,FAM8A1,0.536198373,PIK3CG,0.373287183,FADD,0.456268142
TNFRSF10C_intron1.1,-0.10398739,SEPT7,-0.524951041,GATA3,0.36408296,MAF,0.438556537
MAP2K2,-0.103703,GNLY,-0.50827698,CTDSP2,0.355563866,PIK3CG,0.429757853
CXCR6,-0.088283556,CISH,-0.438796653,C3AR1,0.314077177,ATP11A,0.424128215
FAM8A1,0.06945231,IL17A,-0.413949497,MSN,0.301616576,RALGPS2,-0.419282394
FAM65B,-0.060025841,C3AR1,-0.253020025,STAT6,0.296234461,LTK,-0.418769162
FUT7,-0.054893802,LILRA1,0.07133117,SPARC,-0.284122744,GATA3,0.418042329
GNLY,-0.039593664,NAPA,-0.051132364,HLA-A,0.280212391,GNAS_isoform,0.40539305
