"","ensembl_gene_id","Overall","hgnc_symbol"
"1","ENSG00000270207",0.336030732021232,""
"2","ENSG00000014919",0.335999246112717,"COX15"
"3","ENSG00000223177",0.311155751982643,"RNA5SP39"
"4","ENSG00000232879",0.237952809937585,"GLRX5P2"
"5","ENSG00000235546",0.232633569343939,""
"6","ENSG00000260588",0.208850289385887,""
"7","ENSG00000107821",0.206405099454417,"KAZALD1"
"8","ENSG00000166147",0.196516256906255,"FBN1"
"9","ENSG00000187715",0.103143527737755,"KBTBD12"
"10","ENSG00000101489",0.082280009010676,"CELF4"
"11","ENSG00000189013",0.0633724423852563,"KIR2DL4"
"12","ENSG00000140107",0.0472696560615666,"SLC25A47"
"13","ENSG00000267655",0.0396606381021928,""
"14","ENSG00000274818",0.0266146857569496,""
"15","ENSG00000221916",0.0179444237294517,"C19orf73"
"16","ENSG00000267452",0.0169734518281168,"LINC02073"
"17","ENSG00000133477",0.00630877060109685,"FAM83F"
"18","ENSG00000106462",0.00601930382598893,"EZH2"
