Model,Genes,Test Sets,AUC [95% C.I.],BER [95% C.I.]
IPF vs Control,55,8,0.99 [0.99-1.00],0.06 [0.03-0.08]
HP vs Control,235,3,0.91 [0.84-0.99],0.13 [0.05-0.23]
NSIP vs Control,378,4,0.94 [0.88-0.99],0.18 [0.08-0.28]
SSc-ILD vs Control,52,1,0.98 [0.93-1.00],0.11 [0.00-0.25]
IPF vs nonIPF,57,6,0.71 [0.63-0.79],0.35 [0.28-0.43]
HP vs nonHP,132,2,0.76 [0.63-0.89],0.30 [0.18-0.44]
NSIP vs nonNSIP,174,4,0.60 [0.49-0.72],0.46 [0.34-0.58]
IPF vs HP,95,3,0.76 [0.64-0.87],0.28 [0.19-0.39]
IPF vs NSIP,67,4,0.76 [0.64-0.88],0.32 [0.21-0.45]
HP vs NSIP,153,2,0.74 [0.51-0.96],0.37 [0.16-0.60]
IPF vs Control (Blood),518,2*,0.74 [0.67-0.81],0.34 [0.28-0.42]
IPF vs Control (PBMC),169,2**,0.73 [0.65-0.81],0.33 [0.26-0.42]
