"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene","UMAP_label"
"1",0,1.93217921652414,0.841,0.266,0,"3","CCR7","Naive CD4+ cells C3 (3)"
"2",0,1.25776808280858,0.865,0.392,0,"3","TCF7","Naive CD4+ cells C3 (3)"
"3",0,1.09883393327871,0.723,0.306,0,"3","CD27","Naive CD4+ cells C3 (3)"
"4",0,1.36540202819946,0.655,0.247,0,"3","LEF1","Naive CD4+ cells C3 (3)"
"5",0,1.28140922197923,0.869,0.487,0,"3","NOSIP","Naive CD4+ cells C3 (3)"
"6",0,1.19448112525911,0.592,0.213,0,"3","MAL","Naive CD4+ cells C3 (3)"
"7",0,1.52715963829326,0.548,0.193,0,"3","TRABD2A","Naive CD4+ cells C3 (3)"
"8",0,1.80018668007373,0.476,0.122,0,"3","TSHZ2","Naive CD4+ cells C3 (3)"
"9",0,2.04483280537922,0.402,0.1,0,"3","FHIT","Naive CD4+ cells C3 (3)"
"10",0,1.06521084602387,0.987,0.706,0,"3","LDHB","Naive CD4+ cells C3 (3)"
"11",0,1.79212951794959,0.871,0.285,0,"7","CCR7","Naive CD4+ cells C7 (7)"
"12",0,2.11449848083963,0.777,0.218,0,"7","MAL","Naive CD4+ cells C7 (7)"
"13",0,1.97090084274473,0.808,0.255,0,"7","LEF1","Naive CD4+ cells C7 (7)"
"14",0,2.12142831675474,0.881,0.331,0,"7","PRKCQ-AS1","Naive CD4+ cells C7 (7)"
"15",0,2.13777499486905,0.707,0.199,0,"7","TRABD2A","Naive CD4+ cells C7 (7)"
"16",0,2.59658498334752,0.651,0.155,0,"7","CISH","Naive CD4+ cells C7 (7)"
"17",0,2.17733553850779,0.57,0.131,0,"7","TSHZ2","Naive CD4+ cells C7 (7)"
"18",0,3.33601515195633,0.43,0.053,0,"7","ADTRP","Naive CD4+ cells C7 (7)"
"19",0,4.57950666487722,0.13,0.006,0,"7","DACT1","Naive CD4+ cells C7 (7)"
"20",1.56639003892362e-295,1.77980941217855,0.713,0.259,3.00496265067108e-291,"7","TRAT1","Naive CD4+ cells C7 (7)"
