"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
"1",0,2.08700915992745,0.841,0.266,0,"Naive CD4+ cells C3","CCR7"
"2",0,1.41699553174169,0.865,0.392,0,"Naive CD4+ cells C3","TCF7"
"3",0,1.29007163657315,0.723,0.306,0,"Naive CD4+ cells C3","CD27"
"4",0,1.53009655123617,0.655,0.247,0,"Naive CD4+ cells C3","LEF1"
"5",0,1.44036897357487,0.869,0.487,0,"Naive CD4+ cells C3","NOSIP"
"6",0,1.22515416752312,0.987,0.706,0,"Naive CD4+ cells C3","LDHB"
"7",0,1.05717499718417,1,0.949,0,"Naive CD4+ cells C3","EEF1B2"
"8",1.97626258336499e-323,1.97979240387858,0.476,0.122,3.79126213992739e-319,"Naive CD4+ cells C3","TSHZ2"
"9",2.65942248517958e-296,1.37287672418309,0.592,0.213,5.1018360955685e-292,"Naive CD4+ cells C3","MAL"
"10",1.64414332641231e-287,1.14332696368091,0.816,0.538,3.15412455738937e-283,"Naive CD4+ cells C3","SNHG8"
"11",0,1.83234152228838,0.871,0.285,0,"Naive CD4+ cells C7","CCR7"
"12",0,2.18360315988367,0.777,0.218,0,"Naive CD4+ cells C7","MAL"
"13",0,2.02335611304079,0.808,0.255,0,"Naive CD4+ cells C7","LEF1"
"14",0,2.16096393545197,0.881,0.331,0,"Naive CD4+ cells C7","PRKCQ-AS1"
"15",0,2.20329345022184,0.707,0.199,0,"Naive CD4+ cells C7","TRABD2A"
"16",0,2.62843332186095,0.651,0.155,0,"Naive CD4+ cells C7","CISH"
"17",0,1.13872643268065,0.998,0.583,0,"Naive CD4+ cells C7","LTB"
"18",4.18473602027536e-321,3.40733134593486,0.43,0.053,8.02799758129625e-317,"Naive CD4+ cells C7","ADTRP"
"19",1.98287086655292e-292,1.08751298672134,0.989,0.716,3.80393947039512e-288,"Naive CD4+ cells C7","LDHB"
"20",1.91882970970111e-272,2.24419543647882,0.57,0.131,3.6810829150906e-268,"Naive CD4+ cells C7","TSHZ2"
"21",0,3.7117525256581,0.917,0.113,0,"Peripheral memory CD8 T cells","GZMK"
"22",0,1.38136041016444,0.981,0.389,0,"Peripheral memory CD8 T cells","GZMA"
"23",0,1.13778797813532,0.989,0.399,0,"Peripheral memory CD8 T cells","CST7"
"24",0,1.56600103662763,0.996,0.412,0,"Peripheral memory CD8 T cells","CCL5"
"25",0,2.56489160042963,0.858,0.295,0,"Peripheral memory CD8 T cells","CMC1"
"26",0,2.71460162093015,0.714,0.176,0,"Peripheral memory CD8 T cells","DUSP2"
