"","Gene","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","dataframe_name"
"1","MTRNR2L8",7.84956850775006e-38,2.68472739930443,0.378,0.24,1.50586122252677e-33,"B cells"
"2","DDIT4",1.06864859234517e-06,1.34595958567256,0.235,0.11,0.0205009545955497,"B cells"
"3","MACROD2",1.61012308987515e-06,-0.907766676180894,0.116,0.24,0.0308886013561649,"B cells"
"4","MTRNR2L8",3.23070558077901e-16,3.17839209479591,0.351,0.149,6.19778558616646e-12,"Central memory CD8 T cells"
"5","JUN",7.88763269900636e-08,-1.37242433843494,0.495,0.702,0.00151316345697738,"Central memory CD8 T cells"
"6","CD52",2.56632604946886e-23,-0.972027102591067,0.706,0.912,4.92323989330107e-19,"Classical Monocytes C12"
"7","FOLR3",1.65772864859736e-21,-2.32823187712296,0.228,0.45,3.18018663946917e-17,"Classical Monocytes C12"
"8","HLA-DRB5",3.54895503391473e-18,1.85048722542501,0.479,0.177,6.80831533706201e-14,"Classical Monocytes C12"
"9","HIATL1",1.05696083176473e-16,-1.09896457712955,0.468,0.707,2.02767365965745e-12,"Classical Monocytes C12"
"10","IFITM3",1.63562404368921e-13,-0.80804018108097,0.512,0.751,3.13778116541338e-09,"Classical Monocytes C12"
"11","TMEM176B",2.34749982833433e-11,1.6293708781746,0.445,0.232,4.50344367067658e-07,"Classical Monocytes C12"
"12","DDX60L",5.64842914023198e-11,-1.05506897439716,0.375,0.624,1.0835946462621e-06,"Classical Monocytes C12"
"13","IFI6",1.70310630176461e-09,-0.855516878562848,0.413,0.61,3.26723912930523e-05,"Classical Monocytes C12"
"14","TMEM176A",3.60061407563675e-08,1.42957658193705,0.338,0.199,0.000690741804270154,"Classical Monocytes C12"
"15","ERAP2",1.06701865688681e-07,-0.913568219308335,0.335,0.506,0.00204696859137166,"Classical Monocytes C12"
"16","MT-ND5",1.58239346101999e-47,-1.03726028687722,0.831,0.967,3.03566361562075e-43,"Classical Monocytes C6"
"17","FOLR3",7.7543001027992e-23,-2.29495718418938,0.194,0.393,1.487584931721e-18,"Classical Monocytes C6"
"18","CD52",5.19801439903078e-20,-0.825418655312957,0.607,0.79,9.97187082310064e-16,"Classical Monocytes C6"
"19","TMEM176B",1.15073727829888e-15,2.0937896433513,0.323,0.131,2.20757439468858e-11,"Classical Monocytes C6"
"20","JUN",9.87685458914964e-13,-1.26513246567291,0.371,0.555,1.89477578438247e-08,"Classical Monocytes C6"
